Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Andromeda One A Biomass Plant,-79560,Internal Combustion,NA,NA,NA,NA,NA,NA,NA,NA,Biomass,#VALUE!
Anson County Project,-109280,Gas Turbine,366.6,164527,5.12,10724.76,490872.08,8058688.87,1142485.54,9692046.48,Gas,51.96448577
Aqua Ingrams Mill Solar,-53324,Solar,0.4,1255,35.82,NA,0,0,10574.13,10574.13,Solar,0
Arcanum,-1590,Internal Combustion,1.4,13,0.11,12153.85,90.31,1881.73,847.14,2819.17,Oil,151.6953846
Arcanum IC,-1591,Internal Combustion,1.8,62,0.39,10112.9,14810.82,7526.91,13347.8,35685.53,Oil,360.2859677
Archbald Cogeneration,-56390,Steam Turbine,20,134369,76.69,14732.1,1950971.8,7021153.54,1265179.58,10237304.92,Biomass,66.77228632
Archbald Power Station,-93821,Gas Turbine,59.2,94137,18.15,11383.66,132120.9,3885950.95,223198.49,4241270.34,Gas,42.68323667
Arden Landfill,-16692,Internal Combustion,4.8,35044,83.34,12412.42,459979.13,1460639.18,59416.17,1980034.48,Biomass,54.80591
Armenia Mountain Wind,-95050,Wind Turbine,100.5,261169,29.67,NA,577407.63,0,1858704.5,2436112.13,Wind,2.210858218
Armstrong County,-23112,Gas Turbine,676,1206459,20.37,10409.9,1693260.38,22570956.71,2101375.5,26365592.59,Gas,20.11192845
Ashtabula CC,-108772,Combined Cycle,28.6,132174,52.76,6995,786561.67,2926532.7,737089.38,4450183.75,Gas,28.09247182
Atlantic City Solar Facility,-104466,Solar,2,2982,17.02,NA,0,0,52870.65,52870.65,Solar,0
Atlantic Coast Freezers Solar Facility,-65518,Solar,2.2,3383,17.55,NA,0,0,58157.71,58157.71,Solar,0
Atlantic County Solar Plant,-112764,Solar,1.3,2327,20.43,NA,0,0,34365.92,34365.92,Solar,0
Atlantic County Solar Plant,-112763,Solar,1.3,2327,20.43,NA,0,0,34365.92,34365.92,Solar,0
Atlantic County Solar Plant,-112762,Solar,1.3,2327,20.43,NA,0,0,34365.92,34365.92,Solar,0
Auglaize Hydro,-1651,Hydraulic Turbine,4.5,8861,22.48,NA,313782.49,0,139293.79,453076.28,Water,35.41163413
Aurora Generating Station,-109380,Gas Turbine,1002,43751,0.5,12899.07,1120689.3,1664669.53,3098712.09,5884070.93,Gas,63.66388951
Austin Solar Project,-108820,Solar,2,NA,NA,NA,NA,NA,52870.65,NA,Solar,#VALUE!
Aventis Pharmaceuticals,-1668,Gas Turbine,4.1,25743,71.68,4695.72,36130.2,473850.83,52099.31,562080.34,Gas,19.81047392
Avenue A Gen Sets,-1669,Internal Combustion,3.6,59,0.19,9779.66,34177.91,6969.36,37740.36,78887.63,Oil,697.4113559
Avon Lake,-107326,Steam Turbine,710,2753681,44.27,9735.13,10484165.27,85184790.04,18560603.12,114229558.4,Coal,34.742207
Avon Lake CT,-107328,Gas Turbine,30,0,0,12749,0,40143.52,128723.07,168866.58,Oil,#DIV/0!
B.L. England,-94580,Steam Turbine,298,145732,5.58,11471.6,1310587.84,6136724.39,6898239.86,14345552.09,Coal,51.102793
B.L. England,-62034,Steam Turbine,298,145732,5.58,11471.6,1310587.84,6136724.39,6898239.86,14345552.09,Coal,51.102793
B.L. England,-62030,Steam Turbine,298,145732,5.58,11471.6,1310587.84,6136724.39,6898239.86,14345552.09,Coal,51.102793
B.L. England,-62029,Steam Turbine,298,145732,5.58,11471.6,1310587.84,6136724.39,6898239.86,14345552.09,Coal,51.102793
Back River Waste Water Treatment - IC,-87251,Internal Combustion,3.8,3737,11.23,18167.51,91017.66,208368.16,46225.68,345611.51,Biomass,80.11394702
Back River Waste Water Treatment - PV,-87248,Solar,0.8,1028,14.67,NA,0,0,21148.26,21148.26,Solar,0
Baltimore,-1706,Steam Turbine,17.5,51268,33.44,5615.84,1205699.36,852519.11,418369.46,2476587.92,Gas,40.14626024
Baltimore Refuse Energy Systems Co.,-83623,Steam Turbine,61.3,321901,59.95,21325.09,2886905,41299995.77,1686519.89,45873420.66,Biomass,137.2686036
Baltimore Solar Project (GM Electric Motor Plant),-99001,Solar,1,1608,18.36,NA,0,0,26435.32,26435.32,Solar,0
Bath County,-73417,Pumped Storage,3003,3637121,13.83,NA,5830376,110363433.6,7541094,123734903.6,Water,31.94664395
Bath County,-73416,Pumped Storage,3003,3637121,13.83,NA,5830376,110363433.6,7541094,123734903.6,Water,31.94664395
Bath County,-1739,Pumped Storage,3003,3637121,13.83,NA,5830376,110363433.6,7541094,123734903.6,Water,31.94664395
Battleboro Solar Project,-77668,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Bavarian Landfill,-9864,Internal Combustion,3.2,22743,81.13,12267.69,299805.52,1015560,34413.24,1349778.76,Biomass,57.83606033
Bay Shore,-10166,Steam Turbine,136,1088815,91.39,12157.51,3304133.21,4952919.99,1784746.5,10041799.69,Coal,7.583522637
Bay Shore CT,-10167,Gas Turbine,17,0,0,100000,0,9966.19,169531.14,179497.33,Oil,#DIV/0!
Bay View Backup Power Facility,-65619,Internal Combustion,12,5050,4.8,10777.03,149173.76,154001.46,153088.26,456263.48,Gas,60.03469703
Bayonne Cogeneration,-108167,Combined Cycle,182.2,395764,24.8,5733.35,2017384.04,9385787.39,3673348.69,15076520.12,Gas,28.81305887
Bayonne Solar Plant,-23989,Solar,1.5,2141,16.29,NA,0,0,39652.98,39652.98,Solar,0
Bayview,-21080,Internal Combustion,12.6,4593,4.16,9894.4,122548.44,558594.24,132416.1,813558.79,Oil,148.3001698
Bayville Central Facility,-1761,Internal Combustion,6.9,5344,8.84,4294.72,121288.36,78282.48,73472.65,273043.48,Oil,37.34484281
Bayville Central Facility PV,-48614,Solar,0.2,278,15.87,NA,0,0,5287.06,5287.06,Solar,0
Bayway Refinery,-12067,Other,11.2,67133,68.42,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
BBB Headquarters Solar Project,-65053,Solar,1,1404,16.03,NA,0,0,26435.32,26435.32,Solar,0
Bear Creek Wind Project,-98913,Wind Turbine,24,63448,30.18,NA,307696.09,0,682543.92,990240.02,Wind,4.849579025
Bear Creek Wind Project,-85197,Wind Turbine,24,63448,30.18,NA,307696.09,0,682543.92,990240.02,Wind,4.849579025
Bear Creek Wind Project,-60078,Wind Turbine,24,63448,30.18,NA,307696.09,0,682543.92,990240.02,Wind,4.849579025
Bear Creek Wind Project,-24156,Wind Turbine,24,63448,30.18,NA,307696.09,0,682543.92,990240.02,Wind,4.849579025
Bear Garden,-13737,Combined Cycle,622,3459459,63.49,7133.49,4946331,105777695.5,7530698,118254724.5,Gas,32.00616816
Beaver Dam Gas Project,-80495,Internal Combustion,NA,NA,NA,NA,NA,NA,NA,NA,Gas,#VALUE!
Beaver Solar,-98484,Solar,1.3,1534,13.47,NA,0,0,34365.92,34365.92,Solar,0
Beaver Valley,-55435,Nuclear,1872,14537772,88.65,10400,105120461.6,121634605.6,139002044.1,365757111.3,Nuclear,15.59764916
Beaver Valley,-55434,Nuclear,1872,14537772,88.65,10400,105120461.6,121634605.6,139002044.1,365757111.3,Nuclear,15.59764916
Beaver Valley,-12888,Nuclear,1872,14537772,88.65,10400,105120461.6,121634605.6,139002044.1,365757111.3,Nuclear,15.59764916
Beaver Valley Patterson Dam,-66954,Hydraulic Turbine,1.2,3324,31.62,NA,39776.13,0,129941.49,169717.61,Water,11.96634477
Beaver Valley Patterson Dam,-1796,Hydraulic Turbine,1.2,3324,31.62,NA,39776.13,0,129941.49,169717.61,Water,11.96634477
Beech Ridge (Battery) Energy Storage Project,-114102,Other,31.5,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Beech Ridge Wind Farm,-9971,Wind Turbine,100.5,276044,31.36,NA,556859.78,0,1827163.73,2384023.51,Wind,2.017286302
Beecher,-17042,Internal Combustion,3.3,2797,9.68,10442.26,73211.66,96649.28,37681.37,207542.3,Biomass,60.72968895
Belcamp Solar Project,-59681,Solar,1.4,2239,18.26,NA,0,0,37009.45,37009.45,Solar,0
Belle Haven Diesel Generation Facility,-114071,Internal Combustion,4,289,0.82,9193.77,49639.3,32669.28,44315.94,126624.52,Oil,284.8047751
Bellefontaine Landfill Facility,-77142,Internal Combustion,4.8,39414,93.74,12827.12,510229.76,1797129.88,59416.17,2366775.81,Biomass,58.54162582
Bellefontaine Landfill Facility,-16180,Internal Combustion,4.8,39414,93.74,12827.12,510229.76,1797129.88,59416.17,2366775.81,Biomass,58.54162582
Bellemeade Power Station,-1820,Combined Cycle,267,1243671,53.17,8620.69,3934782,33599164.45,3660051,41193997.45,Gas,30.17996436
Belleville,-1814,Hydraulic Turbine,42,261278,71.01,NA,952525.48,0,346046.15,1298571.63,Water,3.645639817
Bergen,-1841,Combined Cycle,1195.32,5713380,54.56,7979.94,7236754.95,193204570.6,14378488.32,214819813.9,Gas,35.08279259
Bergen County CHP Facility,-22774,Internal Combustion,2.8,NA,NA,11075,NA,NA,118207.54,NA,Biomass,#VALUE!
Bergen County Correctional Facility,-12401,Internal Combustion,1.3,NA,NA,11075,NA,NA,12339.62,NA,Gas,#VALUE!
Berlin,-1846,Internal Combustion,9,0,0,11075,0,31780.28,87688.67,119468.95,Oil,#DIV/0!
Berrien Springs,-1852,Hydraulic Turbine,7.2,29958,47.5,NA,464486,0,179281,643767,Water,15.50457307
Berry Plastics Solar Plant,-87020,Solar,10.1,16913,19.12,NA,0,0,266996.76,266996.76,Solar,0
Bethel Landfill,-13493,Internal Combustion,4.8,34530,82.12,12118.13,453540.42,1502089.68,58766.47,2014396.57,Biomass,56.63568202
Bethel Price Solar,-77772,Solar,5,10519,24.02,NA,0,0,132176.61,132176.61,Solar,0
Bethel Solar,-85227,Solar,5,256,6.88,NA,0,0,11225.96,11225.96,Solar,0
Bethlehem CC,-21081,Combined Cycle,1134,5327292,53.63,8135.93,4877328.2,134932521.4,10340574.05,150150423.7,Gas,26.24407478
Bethlehem Landfill,-104470,Gas Turbine,5.4,13516,28.57,20434.15,20960.47,1009351.98,37789.92,1068102.38,Biomass,76.22909515
Bethlehem Landfill,-17199,Gas Turbine,5.4,13516,28.57,20434.15,20960.47,1009351.98,37789.92,1068102.38,Biomass,76.22909515
Big Island,-1886,Steam Turbine,7,50266,81.97,5393,2827459.37,1913219.02,1454708.3,6195386.7,Biomass,94.31182887
Big Island Hydro,-1887,Hydraulic Turbine,0.4,177,5.05,NA,322.6,0,43313.83,43636.42,Water,1.82259887
Big Sandy,-1892,Steam Turbine,260,3132143,60.5,9413.9,7420871,71883019.07,12147545,91451435.07,Coal,25.31937082
Big Sandy Peaker,-105054,Gas Turbine,342,154265,5.15,10982.43,465880.55,4795704.2,1085730.57,6347315.33,Gas,34.10744336
Big Sky Wind Facility,-72628,Wind Turbine,240,530591,25.24,NA,1135570.31,0,4112932.92,5248503.23,Wind,2.140198967
Birchwood Power Facility,-101320,Steam Turbine,243.3,560883,26.32,10780.29,3358779.38,20589400.2,6498736.34,30446915.92,Coal,42.69728193
Birchwood Power Facility,-64020,Steam Turbine,243.3,560883,26.32,10780.29,3358779.38,20589400.2,6498736.34,30446915.92,Coal,42.69728193
Bishop Hill Wind Farm,-110853,Wind Turbine,200,641587,36.62,NA,963962.46,0,3416930.51,4380892.98,Wind,1.502465698
Bishop Hill Wind Farm,-110852,Wind Turbine,200,641587,36.62,NA,963962.46,0,3416930.51,4380892.98,Wind,1.502465698
Bishop Hill Wind Farm,-100662,Wind Turbine,200,641587,36.62,NA,963962.46,0,3416930.51,4380892.98,Wind,1.502465698
Black River Farm Solar Project,-45043,Solar,0.14,NA,NA,NA,NA,NA,3700.95,NA,Solar,#VALUE!
BlackRock-Matrix Roof Solar,-38685,Solar,2.5,3776,17.24,NA,0,0,66088.31,66088.31,Solar,0
Blackstone Wind Farm (Top Crop I),-102796,Wind Turbine,102,286211,32.03,NA,586681.85,0,1883621.81,2470303.66,Wind,2.049822858
Blackstone Wind Farm (Top Crop I),-46173,Wind Turbine,102,286211,32.03,NA,586681.85,0,1883621.81,2470303.66,Wind,2.049822858
Blackstone Wind Farm (Top Crop I),-46171,Wind Turbine,102,286211,32.03,NA,586681.85,0,1883621.81,2470303.66,Wind,2.049822858
Blackstone Wind Farm (Top Crop I),-45993,Wind Turbine,102,286211,32.03,NA,586681.85,0,1883621.81,2470303.66,Wind,2.049822858
Blackstone Wind Farm (Top Crop I),-45991,Wind Turbine,102,286211,32.03,NA,586681.85,0,1883621.81,2470303.66,Wind,2.049822858
Blackstone Wind Farm II (Top Crop II),-102800,Wind Turbine,200,526247,30.04,NA,994273.82,0,3480012.06,4474285.88,Wind,1.889367198
Blackstone Wind Farm II (Top Crop II),-46457,Wind Turbine,200,526247,30.04,NA,994273.82,0,3480012.06,4474285.88,Wind,1.889367198
Blackstone Wind Farm II (Top Crop II),-46455,Wind Turbine,200,526247,30.04,NA,994273.82,0,3480012.06,4474285.88,Wind,1.889367198
Blackstone Wind Farm II (Top Crop II),-46049,Wind Turbine,200,526247,30.04,NA,994273.82,0,3480012.06,4474285.88,Wind,1.889367198
Blackstone Wind Farm II (Top Crop II),-46047,Wind Turbine,200,526247,30.04,NA,994273.82,0,3480012.06,4474285.88,Wind,1.889367198
Blair Solar Project,-113635,Solar,1.5,NA,NA,NA,NA,NA,39652.98,NA,Solar,#VALUE!
Blossburg,-107203,Gas Turbine,24,6829,3.25,14743.59,80234.63,146201.78,207211.23,433647.64,Gas,33.15806267
Blue Creek I & II  Wind Farm (Paulding Wind),-100819,Wind Turbine,302,809329,30.59,NA,1401184.62,0,5111307.7,6512492.31,Wind,1.731291749
Blue Creek I & II  Wind Farm (Paulding Wind),-100818,Wind Turbine,302,809329,30.59,NA,1401184.62,0,5111307.7,6512492.31,Wind,1.731291749
Blue Ridge Generating,-87647,Internal Combustion,1.2,7314,69.58,10666.94,90041.72,278418.14,14529.2,382989.05,Biomass,50.37733935
Blue Ridge Generating,-87646,Internal Combustion,1.2,7314,69.58,10666.94,90041.72,278418.14,14529.2,382989.05,Biomass,50.37733935
Bos Dairy,-70324,Internal Combustion,0.9,7860,76.93,13572.26,81057.87,329632.94,5374.51,416065.32,Biomass,52.25073919
Bound Brook Solar,-90259,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Bound Brook Solar,-90258,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Bowling Green,-2021,Internal Combustion,8.8,33,0.04,9818.18,19116.46,3902.84,101783.03,124802.32,Oil,697.5545455
Bowling Green Generating Station,-9029,Gas Turbine,49.5,536,0.12,16453.36,71021.93,26788.04,196659.49,294469.45,Gas,182.4812873
Bowling Green Peaking,-2023,Gas Turbine,32,1175,0.42,9577.02,52463.52,34181.4,143284.98,229929.9,Gas,73.74035745
Bowling Green Wind,-9989,Wind Turbine,7.2,13087,20.75,NA,95810.39,0,320884.88,416695.26,Wind,7.321035379
Boydton Plank Road Cogeneration,-90932,Internal Combustion,10.2,258,0.29,10023.25,80440.57,31222.73,120249.7,231913.01,Oil,432.8034884
Boydton Plank Road Cogeneration,-90931,Internal Combustion,10.2,258,0.29,10023.25,80440.57,31222.73,120249.7,231913.01,Oil,432.8034884
Bradley Farm PV1,-77968,Solar,5,NA,NA,NA,NA,NA,11225.96,NA,Solar,#VALUE!
Braidwood Generating Station,-2041,Nuclear,2384,19710011,94.38,10400,117328916.8,164909684.8,171743436.1,453982037.7,Nuclear,14.31955576
Brandon Shores,-108186,Steam Turbine,1280,4962679,44.26,11240.05,16906748.27,172691731.6,36829904.23,226428384.1,Coal,38.20486473
Brasfield Appomattox Arwa Hydroelectric,-79091,Hydraulic Turbine,2.9,10564,41.58,NA,225229.64,0,102452.19,327681.83,Water,21.32048845
Bremo Bluff,-2055,Steam Turbine,235,214579,10.42,10958.74,4414453,18273996.21,36932015,59620464.21,Gas,105.7347141
Brickyard Solar Project,-88994,Solar,2,NA,NA,NA,NA,NA,30998.13,NA,Solar,#VALUE!
Bridgeport Disposal Solar Farm,-87293,Solar,1.2,1930,18.36,NA,0,0,31722.39,31722.39,Solar,0
Bridgewater Dairy Anaerobic Digester,-22700,Internal Combustion,1.2,2259,21.49,10167.33,29273.13,72072,11280.74,112625.87,Biomass,44.86282869
Bristol Myers Squibb Lawrenceville Cogen (GT),-87645,Gas Turbine,4.4,29066,75.41,21501.93,42995.57,1950765.45,60131.03,2053892.05,Gas,68.59426891
Bristol Myers Squibb Lawrenceville Cogen (IC),-87642,Internal Combustion,0.9,0,0,11075,0,0,8768.87,8768.87,Oil,#DIV/0!
Bristol-Myers Squibb Company,-2072,Gas Turbine,10.5,54946,59.74,4930.51,77116.49,1078162.19,102076.38,1257355.06,Gas,21.02571033
Bristol-Myers Squibb Company ST,-13092,Steam Turbine,1,48,0.55,5083.33,1801.43,918.71,23906.83,26626.97,Gas,56.66958333
Broad Mountain Landfill Facility,-55023,Gas Turbine,11,50344,52.25,17307.31,70657.6,3236329.46,51824.04,3358811.1,Biomass,65.68780907
Brookside,-32401,Fuel Cell,3,22935,87.27,7469.28,1055854.25,498832.94,0,1554687.19,Gas,67.78666623
Broshco Fabricated Products Cogen Plant,-87333,Gas Turbine,4.7,2189,5.32,11323.44,22367.7,75291.43,56975.02,154634.14,Gas,44.61358154
Brown Station Road,-2086,Internal Combustion,2.4,396,1.88,63679.29,23349.24,91615.16,13465.78,128430.18,Biomass,290.3141414
Bruce A. Henry Solar Energy Farm,-36711,Solar,4,6512,18.58,NA,0,0,105741.29,105741.29,Solar,0
Bruce Mansfield,-25864,Steam Turbine,2510,13610817,61.9,10226.05,34199462.46,336878808.7,73055333.22,444133604.4,Coal,27.26348251
Brunner Island,-108188,Steam Turbine,1459.6,4850745,37.94,10341.62,19380680.41,160603475.7,41283574.13,221267730.2,Gas,37.10443573
Brunner Island IC,-108156,Internal Combustion,7.4,89,0.14,9921.35,51556.5,10663.12,66424.36,128643.98,Oil,699.0968539
Brunot Island,-107044,Gas Turbine,15,0,0,12749,0,19374.82,64361.53,83736.36,Oil,#DIV/0!
Brunot Island CC,-107046,Combined Cycle,269.4,97187,4.12,11243.65,781104.46,1857039.07,5598141.09,8236284.61,Gas,27.14502485
Brunswick County Power Station,-29223,Combined Cycle,NA,NA,NA,NA,NA,NA,NA,NA,Gas,#VALUE!
Brunswick Landfill,-90912,Internal Combustion,10.5,55632,60.48,10723.52,725693.45,2526282.05,133302.54,3385278.03,Biomass,58.45512475
Brunswick Landfill,-90911,Internal Combustion,10.5,55632,60.48,10723.52,725693.45,2526282.05,133302.54,3385278.03,Biomass,58.45512475
Bryan,-2113,Internal Combustion,10.8,424,0.45,10238.21,87711.57,52200.51,132062.14,271974.22,Oil,329.9813208
Bryan (OH),-2114,Gas Turbine,45,1133,0.29,18444.84,109160.94,110334.6,295626.44,515121.97,Gas,193.7295146
Bryan (OH) IC,-2115,Internal Combustion,2.5,3,0.01,15333.33,20.84,557.55,1512.75,2091.14,Oil,192.7966667
Bryan Solar Project,-41274,Solar,1.7,2631,17.67,NA,0,0,44940.05,44940.05,Solar,0
Buchanan Generation LLC,-56294,Gas Turbine,86,80569,10.69,9907.59,149895.09,3187819.63,301892.02,3639606.73,Gas,41.42678598
Buchanan Generation LLC,-42320,Gas Turbine,86,80569,10.69,9907.59,149895.09,3187819.63,301892.02,3639606.73,Gas,41.42678598
Buchanan Hydro (MI),-2123,Hydraulic Turbine,4.4,16525,42.87,NA,309096,0,180858,489954,Water,18.70475038
Buck Hydro,-2126,Hydraulic Turbine,15.9,37450,26.89,NA,137779,0,178183,315962,Water,3.679012016
Bucknell University,-2130,Combined Cycle,6.7,33249,56.65,10642,267226.5,516027.41,172674.79,955928.69,Gas,23.55721706
Bunge Foods,-2144,Gas Turbine,4,25536,72.88,6275.85,46489.38,472723.23,54664.58,573877.19,Gas,20.33257401
Burlington - Solar,-18939,Solar,0.41,NA,NA,NA,NA,NA,10838.48,NA,Solar,#VALUE!
Burlington - Solar,-13669,Solar,0.41,NA,NA,NA,NA,NA,10838.48,NA,Solar,#VALUE!
Burlington County Resource Recovery Complex,-100205,Internal Combustion,7,44306,72.25,10015.48,579900.73,1658353.06,87135.85,2325389.63,Biomass,50.51807408
Burlington GT,-2153,Gas Turbine,168,51583,2.18,10700.68,263664.75,1967176.98,658590.1,2889431.83,Gas,43.24761511
Burlington Solar,-18938,Solar,0.05,NA,NA,NA,NA,NA,1321.77,NA,Solar,#VALUE!
Busch Cogeneration Plant,-19067,Combined Cycle,14,NA,NA,7387,NA,NA,198233.52,NA,Gas,#VALUE!
Buxton,-2173,Internal Combustion,15,1169,0.89,13558.6,104655.05,191099.86,182264.64,478019.55,Oil,252.9982121
Byllesby 2,-2178,Hydraulic Turbine,31.6,43041,15.55,NA,118701,1,1027780,1146482,Water,2.757882019
Byrd Press Cogeneration,-2180,Gas Turbine,2.46,NA,NA,11315,NA,NA,11276.14,NA,Gas,#VALUE!
Byron Generating Station,-2181,Nuclear,2346,19471413,94.75,10400,116677275.1,162913384,169804423.2,449395082.4,Nuclear,14.35903286
C.P. Crane,-103183,Steam Turbine,385,402573,11.94,12499.76,3620394.14,12190834.83,9367335.16,25178564.13,Coal,39.2754332
C.P. Crane CT,-103709,Gas Turbine,14,614,0.5,18988.6,70809.62,140014.45,188894.41,399718.48,Oil,343.3616775
Cadbury Adams,-53760,Gas Turbine,5,1174,2.68,5988.93,29083.67,20739.53,68330.72,118153.92,Gas,42.43884157
Calumet Energy Team,-23116,Gas Turbine,330,74215,2.57,10294.85,409986.3,2253685.75,1046085.19,3709757.23,Gas,35.8912895
Calvert Cliffs,-70943,Nuclear,1768,14643325,94.55,10400,96181326.29,122517746.4,132016833,350715905.7,Nuclear,14.93506923
Calvert Cliffs,-49875,Nuclear,1768,14643325,94.55,10400,96181326.29,122517746.4,132016833,350715905.7,Nuclear,14.93506923
Calvert Cliffs,-23551,Nuclear,1768,14643325,94.55,10400,96181326.29,122517746.4,132016833,350715905.7,Nuclear,14.93506923
Cambria Cogeneration,-96619,Steam Turbine,88,602336,78.14,12049.33,1761523.54,13615318.95,1694812.2,17071654.68,Coal,25.52867916
Cambria Cogeneration,-74192,Steam Turbine,88,602336,78.14,12049.33,1761523.54,13615318.95,1694812.2,17071654.68,Coal,25.52867916
Cambria Cogeneration,-74191,Steam Turbine,88,602336,78.14,12049.33,1761523.54,13615318.95,1694812.2,17071654.68,Coal,25.52867916
Cambridge Maryland Solar Farm,-80528,Solar,3.2,4057,21.56,NA,0,0,56781.62,56781.62,Solar,0
Camden Cogeneration,-108213,Combined Cycle,147,247932,19.25,8820.92,1641108.96,6368305.36,2981031.58,10990445.89,Gas,32.30488327
Camden Resource Recovery Facility,-61960,Steam Turbine,33,168356,58.24,21435.3,1917953.09,23521060.02,1217479.63,26656492.74,Biomass,151.1025037
Camden Solar Center,-85459,Solar,1.8,NA,NA,NA,NA,NA,47583.58,NA,Solar,#VALUE!
Camp Grove Wind Farm,-12653,Wind Turbine,150,441606,33.61,NA,846911.31,0,2744057.32,3590968.62,Wind,1.917798467
Cannelton Dam,-12602,Hydraulic Turbine,NA,NA,NA,NA,NA,NA,NA,NA,Water,#VALUE!
Carbon Limestone Landfill,-17038,Internal Combustion,25.6,140994,62.87,13431.75,1738291.9,6893406.52,328580.68,8960279.09,Biomass,61.22032441
Cardinal,-71352,Steam Turbine,1800,8835500,56.03,9893.33,24612075.48,200492876.9,51623359.82,276728312.2,Coal,25.47733036
Cardinal,-2259,Steam Turbine,1800,8835500,56.03,9893.33,24612075.48,200492876.9,51623359.82,276728312.2,Coal,25.47733036
Carey Solar Farm,-74175,Solar,2,NA,NA,NA,NA,NA,52870.65,NA,Solar,#VALUE!
Carlisle Area School District,-19454,Solar,1.3,0,0,NA,0,0,34365.92,34365.92,Solar,#DIV/0!
Carll's Corner,-21082,Gas Turbine,95.1,15299,1.84,16697.43,159104.02,1197562.55,417972.79,1774639.36,Gas,88.67681352
Carrier Clinic Solar Facility (Belle Mead Soleil ),-45055,Solar,1.5,2139,16.28,NA,0,0,39652.98,39652.98,Solar,0
Casselman Wind,-100857,Wind Turbine,34.5,90934,30.09,NA,331569.68,0,825424.33,1156994.01,Wind,3.646267403
Casselman Wind,-100856,Wind Turbine,34.5,90934,30.09,NA,331569.68,0,825424.33,1156994.01,Wind,3.646267403
CCBC Catonsville,-103982,Solar,5.1,470,3.15,NA,0,0,45063.17,45063.17,Solar,0
CCMUA Wastewater Treatment Plant,-87021,Solar,1.5,2403,18.29,NA,0,0,39652.98,39652.98,Solar,0
Cecil County BoE Solar Project,-114080,Solar,2,NA,NA,NA,NA,NA,4490.38,NA,Solar,#VALUE!
Cedarville University(CU Solar),-59673,Solar,1.8,2775,17.6,NA,0,0,47583.58,47583.58,Solar,0
Celco,-74820,Steam Turbine,27.2,148588,62.36,4856.82,1336272.24,2767894.1,356949.3,4461115.64,Coal,27.6211157
Celina Solar Project I (Celina Renewable),-56849,Solar,4,6050,17.27,NA,0,0,105741.29,105741.29,Solar,0
Celina Solar Project I (Celina Renewable),-24336,Solar,4,6050,17.27,NA,0,0,105741.29,105741.29,Solar,0
Central Electric Somerset Solar Plant,-22474,Solar,1,NA,NA,NA,NA,NA,26435.32,NA,Solar,#VALUE!
Central Soya Company Inc.,-2355,Steam Turbine,2.2,9001,46.71,5841,337805.92,148280.71,52595.02,538681.65,Gas,54.00362515
Central Utility CC Plant at White Oak,-66074,Combined Cycle,20,53168,30.35,11699,125918.93,1916119.18,245636.23,2287674.34,Gas,38.40727712
